open_time_ms,open,high,low,close,volume,close_time_ms,quote_asset_volume,num_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
1769966220000,77629.34000000,77671.16000000,77629.34000000,77671.16000000,6.09989000,1769966279999,473646.62871270,2636,4.65274000,361284.14242210,0
1769966280000,77671.15000000,77738.00000000,77648.00000000,77722.80000000,13.04872000,1769966339999,1013848.02575090,7351,4.46974000,347270.62879340,0
1769966340000,77722.80000000,77742.06000000,77684.83000000,77714.51000000,5.61647000,1769966399999,436508.14326980,5695,1.79415000,139429.61598290,0
1769966400000,77714.50000000,77714.50000000,77613.04000000,77616.42000000,5.38337000,1769966459999,418114.79952060,5522,1.88692000,146507.79537790,0
1769966460000,77616.41000000,77616.42000000,77418.00000000,77478.07000000,19.23878000,1769966519999,1490534.83538300,10437,9.05658000,701576.68714520,0
1769966520000,77478.07000000,77478.60000000,77367.56000000,77395.56000000,10.54555000,1769966579999,816391.97914540,7835,2.51786000,194890.18910550,0
1769966580000,77395.56000000,77400.13000000,77338.00000000,77352.22000000,7.74368000,1769966639999,599057.32832860,6016,4.34536000,336170.34741730,0
1769966640000,77352.23000000,77422.00000000,77352.23000000,77407.92000000,3.47202000,1769966699999,268715.74900780,4291,2.39684000,185496.74431340,0
1769966700000,77407.92000000,77519.99000000,77407.91000000,77457.49000000,6.86852000,1769966759999,532156.23429600,7254,4.48547000,347515.83816330,0
1769966760000,77457.50000000,77467.46000000,77428.25000000,77456.03000000,10.08779000,1769966819999,781235.49087200,3309,2.63029000,203731.37469480,0
1769966820000,77456.02000000,77534.00000000,77449.28000000,77534.00000000,14.62945000,1769966879999,1133259.01360580,5126,1.46980000,113885.20472120,0
1769966880000,77533.99000000,77560.00000000,77533.99000000,77550.37000000,4.97641000,1769966939999,385902.55862880,2365,3.45932000,268252.70812490,0
1769966940000,77550.38000000,77573.97000000,77539.44000000,77556.45000000,3.93028000,1769966999999,304825.54635260,2153,2.84662000,220772.13265310,0
1769967000000,77556.46000000,77640.00000000,77546.37000000,77631.03000000,8.63499000,1769967059999,670031.36194920,4563,6.94575000,538928.51020450,0
1769967060000,77631.03000000,77631.03000000,77399.84000000,77451.74000000,25.13131000,1769967119999,1947005.93197480,7975,4.12973000,319870.37371960,0
1769967120000,77451.74000000,77539.88000000,77451.74000000,77463.03000000,4.48315000,1769967179999,347434.71278180,5792,2.65961000,206130.15354820,0
1769967180000,77463.03000000,77499.10000000,77420.00000000,77420.00000000,2.25115000,1769967239999,174383.33494380,4336,0.81151000,62867.89072630,0
1769967240000,77420.00000000,77420.00000000,77372.17000000,77400.17000000,6.28184000,1769967299999,486138.34523020,3506,2.81652000,217959.42118270,0
1769967300000,77400.18000000,77411.03000000,77300.00000000,77300.00000000,13.76961000,1769967359999,1065015.07450800,6531,3.27778000,253580.68975910,0
1769967360000,77300.01000000,77394.18000000,77300.01000000,77344.50000000,10.60875000,1769967419999,820471.23834680,8110,5.68888000,439919.05487450,0
1769967420000,77344.50000000,77387.81000000,77341.65000000,77387.81000000,10.35222000,1769967479999,800836.50802590,4725,6.97665000,539667.60187600,0
1769967480000,77387.80000000,77424.00000000,77330.00000000,77423.99000000,10.03324000,1769967539999,776243.78988140,4521,5.95197000,460487.78312080,0
1769967540000,77424.00000000,77424.00000000,77374.00000000,77417.86000000,8.14098000,1769967599999,630132.39834960,2437,3.16807000,245184.95169370,0
1769967600000,77417.85000000,77450.37000000,77376.00000000,77447.37000000,2.68990000,1769967659999,208217.18741240,5413,1.95120000,151038.58938180,0
1769967660000,77447.36000000,77555.00000000,77430.26000000,77520.47000000,11.25636000,1769967719999,872503.60309300,6335,8.93534000,692590.22609960,0
1769967720000,77520.47000000,77562.89000000,77509.07000000,77510.00000000,5.64947000,1769967779999,438121.10118480,3646,4.56819000,354279.74292040,0
1769967780000,77510.00000000,77524.72000000,77454.00000000,77454.01000000,5.10355000,1769967839999,395513.26211100,4534,1.15419000,89455.57630930,0
1769967840000,77454.01000000,77475.73000000,77454.01000000,77475.73000000,1.70696000,1769967899999,132233.04885950,863,1.06066000,82167.23234890,0
1769967900000,77475.73000000,77513.97000000,77450.37000000,77513.97000000,2.49461000,1769967959999,193286.13483170,3346,1.34319000,104069.19310010,0
1769967960000,77513.97000000,77567.04000000,77513.96000000,77556.63000000,4.75072000,1769968019999,368406.37136040,3776,2.30863000,179027.07336880,0
1769968020000,77556.64000000,77556.64000000,77474.00000000,77508.81000000,12.94785000,1769968079999,1003480.78119220,5368,3.68533000,285607.86712000,0
1769968080000,77508.81000000,77526.88000000,77508.81000000,77511.97000000,4.70378000,1769968139999,364632.77872440,1994,1.45425000,112724.46798500,0
1769968140000,77511.96000000,77511.96000000,77374.00000000,77400.06000000,11.41988000,1769968199999,884092.00407310,7353,3.77381000,292048.64547780,0
1769968200000,77400.06000000,77502.66000000,77366.21000000,77500.01000000,8.50151000,1769968259999,658323.59815470,9315,4.93448000,382055.53818700,0
1769968260000,77500.00000000,77607.43000000,77487.44000000,77607.42000000,13.24732000,1769968319999,1027598.63656550,8225,7.51722000,583052.63623640,0
1769968320000,77607.42000000,77650.38000000,77599.30000000,77650.38000000,6.37680000,1769968379999,494994.01873500,4839,3.36367000,261117.84338660,0
1769968380000,77650.37000000,77670.06000000,77633.85000000,77668.00000000,9.30689000,1769968439999,722688.76057760,2617,4.85480000,376994.30266110,0
1769968440000,77668.00000000,77737.84000000,77667.99000000,77688.78000000,21.95455000,1769968499999,1705865.26008310,6385,13.52115000,1050535.60169850,0
1769968500000,77688.77000000,77688.77000000,77634.00000000,77642.28000000,11.36759000,1769968559999,882727.51455340,5493,2.26888000,176182.75149550,0
1769968560000,77642.28000000,77642.28000000,77592.47000000,77594.73000000,5.55963000,1769968619999,431519.37844460,4283,1.49270000,115842.92805620,0
1769968620000,77594.72000000,77650.38000000,77564.23000000,77650.38000000,2.99363000,1769968679999,232316.25771270,4964,2.04961000,159071.40229900,0
1769968680000,77650.38000000,77680.00000000,77631.42000000,77679.99000000,2.45180000,1769968739999,190397.19664830,2735,1.51426000,117598.22903700,0
1769968740000,77680.00000000,77745.32000000,77675.59000000,77745.32000000,3.49417000,1769968799999,271584.74760470,4495,2.74590000,213426.91461980,0
1769968800000,77745.33000000,77793.34000000,77728.36000000,77788.69000000,20.55228000,1769968859999,1598211.28609010,9413,7.63332000,593647.89262370,0
1769968860000,77788.68000000,77988.08000000,77788.68000000,77916.05000000,45.91965000,1769968919999,3575867.73885060,13048,25.10006000,1954701.88813540,0
1769968920000,77916.06000000,78143.11000000,77822.00000000,78086.32000000,53.05317000,1769968979999,4136812.95213830,14036,39.73437000,3097936.85972930,0
1769968980000,78086.31000000,78150.00000000,78040.00000000,78040.68000000,31.23309000,1769969039999,2438760.37288550,10040,19.29750000,1506920.98830100,0
1769969040000,78041.14000000,78065.33000000,77958.64000000,78012.40000000,11.37591000,1769969099999,887409.28836020,8542,5.31493000,414597.62327340,0
1769969100000,78012.41000000,78038.38000000,77946.63000000,78027.81000000,6.43317000,1769969159999,501715.62251050,6826,3.23638000,252386.32655100,0
1769969160000,78027.82000000,78027.82000000,77914.00000000,77936.00000000,8.79846000,1769969219999,685935.17943950,7716,2.81850000,219771.68056190,0
1769969220000,77936.47000000,78024.96000000,77868.00000000,78020.00000000,8.49908000,1769969279999,662624.99797070,8126,4.28644000,334180.16575550,0
1769969280000,78020.00000000,78253.69000000,78004.60000000,78176.01000000,30.34994000,1769969339999,2371917.61561500,10651,23.98221000,1874292.50548970,0
1769969340000,78176.00000000,78176.00000000,78095.19000000,78160.00000000,9.38943000,1769969399999,733624.99823750,4756,2.93760000,229529.86744590,0
1769969400000,78159.99000000,78194.82000000,78121.05000000,78194.82000000,11.35210000,1769969459999,887282.26402600,5195,8.11958000,634640.48620030,0
1769969460000,78194.82000000,78216.00000000,78148.11000000,78168.84000000,8.03710000,1769969519999,628327.40476690,6255,5.07779000,396966.44038110,0
1769969520000,78168.85000000,78193.27000000,78112.00000000,78179.26000000,9.00549000,1769969579999,703806.78958050,5210,6.72849000,525864.85464320,0
